stage,provider,period,expected_load,expected_price,expected_qos
uniform_initial,A,1,20.000000000000004,0.9038362992906687,1.0
uniform_initial,A,2,2.0,0.9038362992906687,1.0
uniform_initial,A,3,4.0,0.9038362992906687,1.0
uniform_initial,A,4,25.0,0.9038362992906687,1.0
uniform_initial,A,5,27.0,0.9038362992906687,1.0
uniform_initial,A,6,42.0,0.9038362992906687,0.9121477808938284
uniform_initial,A,7,28.0,0.9038362992906687,1.0
uniform_initial,A,8,25.0,0.9038362992906687,1.0
uniform_initial,B,1,8.0,0.746899363127265,1.0
uniform_initial,B,2,0.0,0.746899363127265,1.0
uniform_initial,B,3,1.0,0.746899363127265,1.0
uniform_initial,B,4,7.0,0.746899363127265,1.0
uniform_initial,B,5,5.000000000000001,0.746899363127265,1.0
uniform_initial,B,6,17.0,0.746899363127265,0.9050404189477983
uniform_initial,B,7,9.000000000000002,0.746899363127265,1.0
uniform_initial,B,8,20.000000000000004,0.746899363127265,0.774586665598153
uniform_equilibrium,A,1,10.347739633811528,0.9038362992906687,1.0
uniform_equilibrium,A,2,0.832574389026365,0.9038362992906687,1.0
uniform_equilibrium,A,3,1.9022958996173491,0.9038362992906687,1.0
uniform_equilibrium,A,4,20.251088332239462,0.9038362992906687,0.999395038184564
uniform_equilibrium,A,5,20.667220580284088,0.9038362992906687,0.999395038184564
uniform_equilibrium,A,6,36.05639479521152,0.9038362992906687,0.9757669185060392
uniform_equilibrium,A,7,28.877322943918124,0.9038362992906687,0.9951349237870176
uniform_equilibrium,A,8,29.625632591707223,0.9038362992906687,0.9960528386103888
uniform_equilibrium,B,1,10.754694218373169,0.746899363127265,0.9643016609036905
uniform_equilibrium,B,2,8.064991758788937,0.746899363127265,0.9908967319153206
uniform_equilibrium,B,3,3.097704100382651,0.746899363127265,1.0
uniform_equilibrium,B,4,11.719985616686786,0.746899363127265,0.9231329530056794
uniform_equilibrium,B,5,11.36170547078966,0.746899363127265,0.9231329530056794
uniform_equilibrium,B,6,16.329639603743335,0.746899363127265,0.9151263342253909
uniform_equilibrium,B,7,14.73664265712702,0.746899363127265,0.9231329530056794
uniform_equilibrium,B,8,15.374367408292777,0.746899363127265,0.9188557076394526
tou_initial,A,1,20.000000000000004,0.9158423209371989,1.0
tou_initial,A,2,2.0,0.7028602468149446,1.0
tou_initial,A,3,4.0,0.6672381978482192,1.0
tou_initial,A,4,25.000000000000007,0.936728245831783,1.0
tou_initial,A,5,27.000000000000007,1.0789613990672606,1.0
tou_initial,A,6,42.00000000000001,1.1820540476561758,0.9121477808938286
tou_initial,A,7,28.000000000000007,1.0580859011471115,1.0
tou_initial,A,8,25.000000000000007,1.0563350737920936,1.0
tou_initial,B,1,8.0,0.7589981937547674,1.0
tou_initial,B,2,0.0,0.6122999214376328,1.0
tou_initial,B,3,1.0,0.5877640863853368,1.0
tou_initial,B,4,7.000000000000002,0.7733840481068314,1.0
tou_initial,B,5,5.000000000000001,0.8713517194794779,1.0
tou_initial,B,6,17.000000000000007,0.9423601059780142,0.9050404189477986
tou_initial,B,7,9.000000000000002,0.8569730470423691,1.0
tou_initial,B,8,20.000000000000004,0.8557671082372708,0.7745866655981533
tou_equilibrium,A,1,4.008455019282835,0.9158423209371989,1.0
tou_equilibrium,A,2,4.4235764227905605,0.7028602468149446,1.0
tou_equilibrium,A,3,1.508036533065198,0.6672381978482192,1.0
tou_equilibrium,A,4,18.895215781083863,0.936728245831783,0.9998163568559222
tou_equilibrium,A,5,17.607715383357686,1.0789613990672606,0.9997897358019792
tou_equilibrium,A,6,23.097347604659763,1.1820540476561758,0.996723914117908
tou_equilibrium,A,7,36.16585021360579,1.0580859011471115,0.9754146824958149
tou_equilibrium,A,8,32.42835377725698,1.0563350737920936,0.9939872759041068
tou_equilibrium,B,1,10.991544980717167,0.7589981937547674,0.9759101020845199
tou_equilibrium,B,2,9.199744825716527,0.6122999214376328,0.9972582937322012
tou_equilibrium,B,3,4.868642218427717,0.5877640863853368,1.0
tou_equilibrium,B,4,13.104784218916144,0.7733840481068314,0.9409291844457615
tou_equilibrium,B,5,14.392284616642318,0.8713517194794779,0.9215538008484391
tou_equilibrium,B,6,15.71717033914012,0.9423601059780142,0.9011102235727623
tou_equilibrium,B,7,16.89545019758758,0.8569730470423691,0.8943003164733248
tou_equilibrium,B,8,16.69582786774979,0.8557671082372708,0.8940284160151457
